rank,building_id,meter,site_id,primary_use,square_feet,anomaly_rate,anomaly_hours,total_hours,max_streak,mean_anomaly_score,max_anomaly_score,total_excess,excess_per_sqft,priority_score
1,693,0,5,Office,57436.0,0.42293745,933,2206,933,9713196000.0,216060395520.0,1830.7098,0.031873908,0.6488808664684557
2,192,1,2,Education,151637.0,0.32925725,727,2208,42,1847196000.0,283233615872.0,81.63318,0.00053834607,0.45943069914210355
3,260,0,2,Education,126985.0,0.48188406,1064,2208,13,-37206010.0,162964111360.0,1339.8058,0.010550898,0.4401959046637226
4,1412,1,15,Lodging/residential,39538.0,0.4827586,308,638,106,-2826758400.0,39857344512.0,170.88019,0.004321923,0.40770745216587323
5,1398,1,15,Lodging/residential,20291.0,0.49284253,241,489,22,-3577981700.0,69465726976.0,112.25265,0.00553214,0.38271551319780245
6,1446,0,15,Entertainment/public assembly,11265.0,0.47488812,955,2011,16,-2923092500.0,49142296576.0,265.01172,0.02352523,0.33674406700176474
7,216,3,2,Education,137065.0,0.3312808,269,812,43,1523998200.0,112329220096.0,583.2092,0.004254983,0.32594262040886024
8,590,0,4,Education,8516.0,0.48751703,1074,2203,23,-5891235000.0,24283672576.0,12.866368,0.0015108464,0.3231640198773911
9,53,0,0,Office,87742.0,0.14615385,19,130,9,-1588320000.0,218304741376.0,78.854774,0.00089871185,0.31441399385831714
10,107,0,1,Education,97532.0,0.4555757,1005,2206,145,1.8065501,45.87956619262695,1988.0149,0.020383207,0.3088609667434194
11,799,0,7,Education,527431.0,0.22160919,482,2175,57,1.0885913,12.567951202392578,2417576.8,4.5836835,0.2514601750410267
12,50,1,0,Other,4698.0,0.0010330578,1,968,1,0.015764296,4.977912425994873,51679.89,11.000402,0.2511173521096053
13,217,3,2,Education,282946.0,0.36666667,363,990,18,-0.088373676,33.564640045166016,775.90283,0.0027422293,0.2318552432703422
14,1391,1,15,Entertainment/public assembly,68693.0,0.35786802,282,788,19,-0.89552975,24.386371612548828,301.46072,0.004388522,0.22934090736058982
15,29,1,0,Education,113866.0,0.3119396,661,2119,24,-0.24409485,69.93914031982422,63850.85,0.5607543,0.20798179140899797
16,176,3,2,Education,62238.0,0.19512194,48,246,8,-2141033000.0,40128884736.0,19.194912,0.00030841146,0.16957903683581693
17,797,1,7,Education,764237.0,0.22169812,47,212,10,0.8228089,29.022274017333984,15410.609,0.0201647,0.15771478015464352
18,1346,2,15,Education,34875.0,0.12921067,257,1989,3,-582349000.0,86434127872.0,363.35126,0.010418674,0.15589459194772448
19,1401,1,15,Lodging/residential,168791.0,0.19678335,416,2114,66,-0.6274007,33.369468688964844,1203.8873,0.0071324143,0.13471043348580225
20,1348,1,15,Education,131271.0,0.20955534,443,2114,29,-0.42489368,28.71232032775879,2324.1846,0.01770524,0.13444863690152967
21,1331,3,15,Education,171008.0,0.09176916,194,2114,15,-0.19955266,7.558523178100586,552995.7,3.2337415,0.13270795602087268
22,1366,1,15,Office,87977.0,0.18921477,400,2114,67,-0.028420076,24.52267837524414,1224.4775,0.013918155,0.13048124353354
23,1436,2,15,Manufacturing/industrial,11302.0,0.02945508,60,2037,3,0.10809571,6.999250411987305,55615.266,4.920834,0.13045919634786765
24,803,1,7,Education,182986.0,0.19488817,61,313,7,-0.58850473,144.61216735839844,3124.349,0.017074252,0.12959480161620918
25,1425,2,15,Utility,4071.0,0.012763868,26,2037,2,0.055021487,9.57497787475586,21733.053,5.338505,0.12955905273819782
26,331,0,3,Education,288800.0,0.19030358,420,2207,56,-0.8867402,373.6317443847656,7034.1436,0.024356453,0.12839278163538365
27,1362,1,15,Education,113988.0,0.18353832,388,2114,53,-0.27793923,14.958343505859375,2025.1951,0.017766738,0.12398170570533426
28,1350,1,15,Education,149762.0,0.18699187,368,1968,25,0.7625987,8.154657363891602,177.21706,0.0011833246,0.11985856330640135
29,1433,2,15,Education,28084.0,0.031418752,64,2037,6,0.1433043,7.130673408508301,122528.42,4.3629265,0.11967170134350483
30,1379,1,15,Office,49553.0,0.16698202,353,2114,69,-0.33992684,22.16481590270996,1282.0828,0.025872959,0.11766694720928256
31,687,0,5,Office,36221.0,0.16727108,369,2206,63,-0.07223282,17.148357391357422,1443.1995,0.039844275,0.1162305419717472
32,795,1,7,Education,387500.0,0.17343174,47,271,6,-1.6979135,70.49188232421875,1132.5593,0.0029227338,0.11610644830617484
33,215,3,2,Lodging/residential,36406.0,0.15901561,336,2113,61,0.2787672,18.385860443115234,567.68854,0.015593269,0.11080098441911419
34,162,1,2,Education,98829.0,0.17191097,224,1303,14,-0.8913609,26.69268226623535,967.8365,0.009793041,0.10994799067876121
35,1384,1,15,Education,56969.0,0.16698202,353,2114,23,0.38199684,14.668107032775879,943.1439,0.016555388,0.10716539765256619
36,206,3,2,Public services,345837.0,0.16344196,321,1964,15,0.08095983,17.83988380432129,2025.7947,0.0058576576,0.10323411809923853
37,799,1,7,Education,527431.0,0.15130024,64,423,7,0.031087328,53.675777435302734,13369.632,0.025348589,0.1005001074409777
38,794,1,7,Education,731945.0,0.15,84,560,8,0.32426018,139.60568237304688,13074.551,0.01786275,0.09846849679114453
39,1376,1,15,Public services,240026.0,0.1371807,290,2114,64,-0.11767331,18.797216415405273,1447.64,0.00603118,0.09795707823854416
40,76,1,0,Education,128887.0,0.053327043,113,2119,26,-0.27079535,6.3112030029296875,332797.62,2.5820885,0.09694483457690241
41,1345,2,15,Education,20889.0,0.02209131,45,2037,3,0.051962942,9.554011344909668,73842.16,3.5349782,0.09448119760170098
42,743,0,5,Entertainment/public assembly,12185.0,0.12103354,267,2206,7,-0.0035434628,38.24577713012695,10188.904,0.8361842,0.09417880341526823
43,1383,1,15,Education,105612.0,0.14049196,297,2114,29,-0.21185975,16.736785888671875,1772.9138,0.016787048,0.09238794316501574
44,220,3,2,Education,122592.0,0.09638554,152,1577,93,0.3121613,7.173169136047363,1085.7408,0.008856539,0.08675969037627651
45,403,0,3,Education,49500.0,0.1221865,38,311,8,-0.6448126,6.060591697692871,69.82239,0.0014105532,0.0865728517909536
46,723,0,5,Education,160038.0,0.1282865,283,2206,15,0.27538773,19.777509689331055,1754.9607,0.0109659,0.08155439376714098
47,1359,1,15,Education,124289.0,0.12346263,261,2114,24,-0.27996966,12.815866470336914,1462.2964,0.011765292,0.08078936724308532
48,1408,1,15,Entertainment/public assembly,28760.0,0.12157048,257,2114,23,-0.25981697,15.068079948425293,1007.93677,0.03504648,0.07994300436860026
49,233,1,2,Education,25139.0,0.11514053,254,2206,15,-1.3291534,328.8726501464844,6408.717,0.25493124,0.07909673341707324
50,1325,3,15,Entertainment/public assembly,155177.0,0.12475442,254,2036,8,-0.07658376,37.893367767333984,7880.63,0.05078478,0.07895197431641961
51,177,3,2,Entertainment/public assembly,167066.0,0.12133072,62,511,5,0.39384353,14.78889274597168,528.5644,0.003163806,0.07855461467838959
52,1332,1,15,Education,47398.0,0.117786184,249,2114,16,-0.18831018,17.209623336791992,3735.9614,0.07882108,0.0770684511087001
53,250,3,2,Education,131710.0,0.11111111,106,954,17,0.34648862,25.24831771850586,1369.6705,0.010399139,0.07629783287893903
54,165,0,2,Warehouse/storage,3877.0,0.08041799,177,2201,9,-0.21627463,18.824440002441406,4216.8296,1.0876527,0.0756036540426695
55,1328,1,15,Education,279840.0,0.10737938,227,2114,43,-0.15818681,14.252323150634766,1490.6499,0.0053267935,0.07510308287404029
56,1345,1,15,Education,20889.0,0.11745126,247,2103,11,-0.19792809,41.79942321777344,883.91034,0.04231463,0.07492932640213103
57,1389,1,15,Entertainment/public assembly,17104.0,0.10737938,227,2114,23,-0.2093315,11.023036003112793,3087.1196,0.18049109,0.07461012016092158
58,798,2,7,Education,409028.0,0.112860896,129,1143,7,0.2181901,42.5211067199707,44250.42,0.10818434,0.07405467055765866
59,264,3,2,Office,83660.0,0.11479466,232,2021,9,-0.18009919,8.390889167785645,694.47894,0.008301207,0.07217160012091275
60,560,0,3,Office,340000.0,0.111010425,245,2207,13,0.16512525,22.01775360107422,22491.984,0.06615289,0.07186243638477045
61,1341,2,15,Education,18342.0,0.012763868,26,2037,4,0.036975797,5.9644083976745605,49009.465,2.6719804,0.06942273414987399
62,1337,2,15,Office,14744.0,0.011782032,24,2037,2,-0.007011744,6.801392555236816,39747.688,2.6958551,0.06890337178501862
63,797,2,7,Education,764237.0,0.10312152,185,1794,15,0.095638014,60.85252380371094,51786.312,0.067762114,0.06826534826091785
64,210,3,2,Education,71248.0,0.10037003,217,2162,22,0.16599543,10.732226371765137,1933.0575,0.027131394,0.06652516383693693
65,601,0,4,Entertainment/public assembly,11910.0,0.09677419,210,2170,27,-0.14880666,13.237923622131348,820.8225,0.068918765,0.0663578547654173
66,1380,1,15,Education,204029.0,0.104068115,220,2114,12,-0.1651903,15.339255332946777,2615.9644,0.012821532,0.06632337185045502
67,1326,2,15,Office,46981.0,0.058419243,119,2037,3,-0.029090136,19.14957618713379,60175.953,1.2808572,0.06536635892060498
68,1349,1,15,Manufacturing/industrial,7919.0,0.078997165,167,2114,27,0.059920084,13.244977951049805,3888.8838,0.4910827,0.06528688223338962
69,1407,1,15,Lodging/residential,83141.0,0.09981079,211,2114,14,-0.19844829,10.030335426330566,1595.4962,0.019190246,0.06432399780327108
70,796,1,7,Education,226042.0,0.0997547,122,1223,9,-0.08199639,25.411399841308594,857.6892,0.0037943798,0.0642882110411499
71,799,2,7,Education,527431.0,0.08927173,114,1277,13,0.26015905,13.748456001281738,91312.73,0.17312734,0.06308950298747992
